,Key,Mean
421,Options Market," Một thị trường công khai cho các quyền chọn, cung cấp cho người mua quyền chọn mua hoặc bán tiền điện tử với một mức giá thực tế cụ thể, vào hoặc trước một ngày cụ thể."
422,Oracle, Nguồn dữ liệu hoặc nguồn cấp dữ liệu từ bên thứ ba được sử dụng để xác định kết quả cho các hợp đồng thông minh (smart contract)
423,Order book, Danh sách điện tử các lệnh mua và bán chưa thanh toán cho một tài sản cụ thể trên sàn giao dịch hoặc thị trường.
424,Oversold," Đề cập một loại tiền điện tử được bán bởi nhà đầu tư ngày càng nhiều theo thời gian, với việc giá của nó giảm trong một thời gian dài."
425,Pair," Giao dịch giữa một loại tiền điện tử này với một loại tiền điện tử khác, chẳng hạn như cặp giao dịch BTC / ETH."
426,Parachai, Cấu trúc dữ liệu dành riêng cho ứng dụng chạy song song với nhau trong Polkadot.
427,Peer-to-Peer (P2P), Cơ sở hạ tầng công nghệ thông tin cho phép hai hoặc nhiều hệ thống máy tính kết nối và chia sẻ tài nguyên mà không yêu cầu máy chủ hay nói chung là bên thứ 3 can thiệp.
428,Permissionless," Thường được sử dụng để mô tả các blockchain, một hệ thống được cho là không được phép khi không có thực thể nào có thể quy định ai có thể sử dụng nó và cách sử dụng nó."
429,Perpetual Contract, Một sản phẩm phái sinh nhưng khác với futures contract vì nó không có ngày đáo hạn.
430,Platform," Với không gian tiền điện tử và blockchain, thuật ngữ đề cập đến blockchain mẹ của các token hay có thể đề cập đến một sàn giao dịch mà bạn có thể giao dịch tiền điện tử."
431,Play-to-Ear, Một nền kinh tế mở và trao phần thưởng tài chính cho những người chơi mang lại giá trị cho metaverse của nó.
432,Ponzi Scheme, Một khoản đầu tư gian lận liên quan đến việc thanh toán lợi nhuận có chủ đích cho các nhà đầu tư hiện tại từ các quỹ do các nhà đầu tư mới đóng góp.
433,Portfolio," Tập hợp hoặc danh mục các loại tiền điện tử hoặc tài sản tiền điện tử do một công ty đầu tư, quỹ đầu cơ, tổ chức tài chính hoặc cá nhân nắm giữ."
434,Pre-IDO, Đề cập đến việc cung cấp mã thông báo trước khi cung cấp DEX ban đầu thực sự (IDO) diễn ra.
435,Pre-Sale," Việc bán tiền điện tử, trước khi nó được công khai, cho các nhà đầu tư cụ thể."
436,Private Key," Thường được nhắc đến với ví tiền điện tử, một định dạng chuỗi ký tự để kết nối với tài khoản, khá giống với mật khẩu của tài khoản ngân hàng. Để có thể sử dụng được số tiền trong ví mã này phải khớp với khóa công khai (Public Key)."
437,Proof-of-Stak, Một giao thức đồng thuận hay một tập hợp các quy tắc được sử dụng để xác thực các giao dịch tiền điện tử thông qua việc đặt cược (staking).
438,Proof-of-Wor, Thuật toán đồng thuận đầu tiên được tạo ra trong Blockchain. Tiền điện tử như Bitcoin đang sử dụng sự PoW để xác nhận các giao dịch và tạo ra các block mới được thêm vào chain.
439,Protocol," Tập hợp các quy tắc xác định các tương tác trên mạng, thường liên quan đến sự đồng thuận, xác thực giao dịch và tham gia mạng trên một blockchain."
440,Public Key," Một chuỗi các số ngẫu nhiên và có thể được sử dụng để mã hóa một tin nhắn, mà chỉ người nhận đã dự kiến mới có thể giải mã và đọc bằng cách sử dụng private key được liên kết."
441,Public Sale," Khoảng thời gian tài sản hoặc dịch vụ được tung ra thị trường và được cung cấp cho tất cả khách hàng mua. Thường được tiến hành trên các nền tảng và trang web trao đổi như sàn DEX và sàn CEX theo hình thức ICO, IDO, IEO đối với tiền điện tử."
442,Pump," Trong crypto, nó được sử dụng để chỉ hành động mua một số lượng lớn coin/token nhằm đẩy nhu cầu và giá lên cao."
443,QR Code, Một dạng thông tin được mã hóa để hiển thị sao cho máy có thể đọc được.
444,REKT," Một khoản lỗ hay tài khoản bị chia của một nhà giao dịch, nó cùng dùng để nói vui về việc một đồng coin mới mua bị giảm giá rất sâu và còn nhiều trường hợp khác."
445,ROI, Tỷ lệ giữa lợi nhuận ròng và chi phí đầu tư.
446,RSI (Relative Strength Index), Chỉ số sức mạnh tương đối. Đây là một bộ dao động động lượng đo độ lớn của biến động giá cũng như tốc độ của các biến động này. Nó cùng là một chỉ số phân tích kỹ thuật quan trọng.
447,Rank, Vị trí của một loại tiền điện tử được xếp hạng theo vốn hóa thị trường.
448,Ransomware, Một loại phần mềm độc hại được tin tặc sử dụng để đánh cắp hoặc mã hóa tệp của nạn nhân nhằm tống tiền họ để đòi tiền chuộc nhằm đổi lấy việc giải mã hoặc khôi phục tệp.
449,Replay chain, Chuỗi trung tâm được sử dụng bởi mạng Polkadot.
450,Resistance," Kháng cự. Điểm cao nhất trên biểu đồ mà khi giá di chuyển đến mức đó, thị trường sẽ gặp khó khăn để phá vỡ nó."
451,Roadmap, Bản tóm tắt trực quan giúp vạch ra tầm nhìn cũng như hướng đi của một sản phẩm cụ thể.
452,Rug Pull, Một dạng lừa đảo trong đó các nhà phát triển từ bỏ một dự án và lấy tiền của các nhà đầu tư của họ.
453,SEC, Ủy ban Chứng khoán và Giao dịch (SEC) là một cơ quan chính phủ độc lập chịu trách nhiệm điều tiết thị trường chứng khoán.
454,SHO (Strong Holder Offering), Cơ chế gây quỹ mà các nhà đầu tư đủ điều kiện được lựa chọn dựa trên các hoạt động on-chain và các bộ dữ liệu khác.
455,Satoshi (SATS)," Đơn vị bitcoin nhỏ nhất có giá trị là 0,00000001 BTC."
456,Satoshi Nakamot, Cá nhân hoặc tên một nhóm cá nhân đã tạo ra Bitcoin.
457,Scam, Kế hoạch được thiết kế để lừa đảo người dùng để chiếm đoạt tiền điện tử của mọi người.
458,Scamcoin, Các đồng tiền được tạo ra dưới dạng “kế hoạch làm giàu nhanh chóng hay bơm thổi” bởi các nhà phát triển của họ.
459,Scammer, Người tham gia kế hoạch scam.
460,Scholarship / Scholar," Dùng phổ biến trong Axie Infinity, quá trình các nhà quản lý cho các “học giả – Scholar ” mượn Axie miễn phí của họ, những người mới tham gia trò chơi và không có đủ tiền để thành lập một đội gồm ba quái vật NFT cần thiết để chơi trò chơi."
461,Security Token, Một dạng kỹ thuật số của chứng khoán truyền thống. Chủ sở hữu Security Token có thể nhận được nhiều lợi ích tương tự như cổ phiếu và các loại chứng khoán khác.
462,Seed Phrase," Còn được gọi là cụm từ khôi phục, cụm từ dự phòng hoặc cụm từ ghi nhớ. Nó đề cập đến một danh sách được tạo từ 12 đến 24 từ, theo một thứ tự cụ thể, được người dùng ví tiền điện tử sử dụng để lấy lại quyền truy cập và kiểm soát tiền của họ trên chuỗi."
463,Sell Wall, Một tình huống trong đó một lệnh limit lớn đã được đặt để bán khi tiền điện tử đạt đến một giá trị nhất định.
464,Sharding, Một cách tiếp cận mở rộng quy mô cho phép chia các trạng thái blockchain thành các phân vùng chứa các trạng thái và lịch sử giao dịch. Mỗi phân đoạn có thể được xử lý song song.
465,Shitcoin, Một đồng coin không có giá trị hoặc tiềm năng sử dụng không có thông tin rõ ràng.
466,Smart contract," Một thỏa thuận giữa hai người hoặc thực thể dưới dạng mã máy tính được lập trình để thực thi tự động. Hợp đồng thông minh được thực hiện trên blockchain, có nghĩa là các điều khoản được lưu trữ trong cơ sở dữ liệu phân tán và không thể thay đổi."
467,Snapshot," Đề cập đến khả năng ghi lại trạng thái của một thứ gì đó tại một thời điểm cụ thể. Trong blockchain, Snapshot đề cập đến hành động ghi lại trạng thái một blockchain ở một chiều cao block cụ thể."
468,Stablecoin," Một loại tiền điện tử được thiết kế để duy trì giá trị ổn định, thay vì trải qua những thay đổi đáng kể về giá."
469,Support," Hỗ trợ. Trái ngược với Resistance, support là điểm thấp nhất trên biểu đồ mà khi giá di chuyển đến mức đó, thị trường sẽ gặp khó khăn để phá vỡ nó."
470,Symbol," Mã của một loại tiền điện tử; ví dụ, biểu tượng của Bitcoin là BTC."
471,Synthetic Asset," Tài sản tổng hợp, đôi khi được gọi là synths, là sự kết hợp của tiền điện tử và tài sản phái sinh truyền thống."
472,Taproot, Một bản nâng cấp cho Bitcoin nhằm mục đích cải thiện tính riêng tư và hiệu quả mạng lưới của nó.
473,Technical Analysis (TA)," Phương pháp hay gọi là một công cụ được sử dụng để dự đoán biến động giá có thể xảy ra trong tương lai của tiền điện tử, cổ phiếu,… dựa trên dữ liệu thị trường."
474,Technical Indicator," Sự tính toán dựa trên giá, khối lượng hay lãi suất mở của một chứng khoán hoặc một hợp đồng, được những người giao dịch theo phân tích kỹ thuật sử dụng."
475,Testnet," Một thuật ngữ chỉ cơ chế thử nghiệm các blockchain. Thông qua mạng này, các nhà phát triển có thể thực hiện các thử nghiệm mà không có nguy cơ ảnh hưởng đến hoạt động chính xác của mạng chính."
476,Token, Một loại tài sản kỹ thuật số được tạo ra trên Blockchain đã có sẵn.
477,Token Generation Event (TGE), Thời điểm token được phát hành.
478,Token Sale, Đề cập đến việc cung cấp lần đầu token tiền điện tử cho một nhóm các nhà đầu tư tư nhân trước khi nó chính thức được bán trên thị trường.
479,Token Standard, Một bộ các tiêu chuẩn mà những token được phát triển trên một nền tảng blockchain nào đó. Ví dụ ERC-20 lại là tiêu chuẩn phổ biến nhất cho các token hoạt động trên blockchain Ethereum.
480,Tokenomics, Thể hiện bản chất mô hình kinh tế học của các tài sản tiền điện tử. Nó bao gồm một tập hợp các quy tắc điều chỉnh việc phát hành và cung cấp tiền điện tử.
481,Total Supply," Tổng số coin/token hiện có, trừ đi bất kỳ số tiền nào đã được đốt."
482,Total Value Locked (TVL)," Một chỉ số thể hiện cho tổng giá trị của tất cả tài sản được gửi vào các giao thức tài chính phi tập trung (DeFi) để kiếm thưởng, lãi suất, token mới,…"
483,Trade volume, Khối lượng tiền điện tử đã được giao dịch trong 24 giờ qua.
484,Trading bot, Một chương trình được thiết kế để tự động hóa giao dịch tài sản tiền điện tử thay mặt cho nhà giao dịch.
485,Transaction (TX), Hành động trao đổi tiền điện tử trên blockchain.
486,Transaction Fee, Một khoản thanh toán cho việc sử dụng blockchain để giao dịch.
487,Two-Factor Authentication (2FA), Xác thực hai yếu tố (2FA) là phương pháp truy cập yêu cầu hai hình thức xác thực khác nhau.
488,Uptrend, Thể hiện một xu hướng tăng giá của thị trường có thể trong ngắn hạn hoặc dài hạn.
489,Utility token, Các token được thiết kế đặc biệt để có thể giúp mọi người sử dụng thứ gì đó.
490,Validator, Một người tham gia vào blockchain có cơ chế đồng thuận Poof of Stake. Họ tham gia vào việc xác nhận các block để nhận phần thưởng.
491,Venture Capital," Một dạng vốn cổ phần tư nhân được cung cấp để tài trợ cho các doanh nghiệp nhỏ, ở giai đoạn đầu được coi là có tiềm năng tăng trưởng cao."
492,Virtual Automated Market Makers (vAMMs)," Một hệ thống cung cấp tính thanh khoản tổng hợp (hoặc ảo), cho phép các nhà giao dịch mua và bán các dẫn xuất hoàn toàn trên blockchain."
493,Virtual Reality (VR), Việc sử dụng công nghệ máy tính để tạo ra một môi trường giả lập có thể được khám phá ở góc nhìn 360 độ.
494,Vitalik Buteri," Một trong những người tạo ra Ethereum, tiền điện tử lớn thứ hai sau Bitcoin."
495,Volume," Khối lượng tiền điện tử đã được giao dịch trong một khoảng thời gian nhất định, chẳng hạn như 24 giờ qua."
496,Wallet," Một nơi mà người dùng tiền điện tử có thể lưu trữ, gửi và nhận tài sản."
497,Watchlist, Một tính năng của trang web nơi người dùng có thể tạo danh sách tiền điện tử của riêng họ để theo dõi.
498,Weak Hand, Đề cập việc nhà giao dịch có xu hướng hoảng sợ và bán ra khi tiền điện tử có dấu hiệu giảm giá đầu tiên.
499,Web 1.0, Một thuật ngữ thường được sử dụng để mô tả phiên bản đầu tiên của Internet.
500,Web 2.0," Mô tả trạng thái hiện tại của web, hỗ trợ nhiều nội dung do người dùng tạo hơn và tính ổn định cho người dùng phổ thông hơn so với Web 1.0"
501,Web 3., Thế hệ mới của internet.
502,Web3 Foundation, Được thành lập để thúc đẩy các công nghệ và ứng dụng mới trong lĩnh vực giao thức phần mềm web phi tập trung.
503,Wei," Phần nhỏ nhất của Ether, với mỗi Ether là 1000000000000000000 Wei."
504,Whitepaper, Một tài liệu được phát hành bởi một dự án crypto cung cấp cho các nhà đầu tư thông tin kỹ thuật về khái niệm của dự án và lộ trình ghi lại kế hoạch phát triển của dự án.
505,YTD, Từ đầu năm cho đến hiện tại.
506,Yield Farming, Đề cập liên quan đến việc kiếm lãi bằng cách đầu tư tiền điện tử vào các thị trường tài chính phi tập trung.
507,Zero Confirmation Transaction, Cụm từ thay thế cho một giao dịch chưa được xác nhận.
508,Zero-Knowledge Proof, Cho phép một bên cung cấp bằng chứng rằng một giao dịch hoặc sự kiện đã xảy ra mà không tiết lộ chi tiết riêng tư của giao dịch hoặc sự kiện đó.
509,Zk-SNARK, Bằng chứng cho phép một bên chứng minh mình sở hữu một số thông tin nhất định mà không cần tiết lộ thông tin đó.
510,Tiếng Anh,Tiếng Việt
511,Artificial Intelligence (AI),Trí tuệ nhân tạo
512,Machine Learning (ML),Máy học hoặc học máy
513,Deep Learning (DL),Học sâu
514,Natural Language Processing (NLP),Xử lý ngôn ngữ tự nhiên
515,Computer Vision (CV),Thị giác máy tính
516,Explainable Artificial Intelligence (XAI),AI có khả năng giải thích
517,Artificial Neural Networks (ANNs),Mạng nơ-ron nhân tạo
518,Natural Language Understanding (NLU),Hiểu ngôn ngữ tự nhiên
519,Question Answering (QA),Hệ thống hỏi đáp
520,accuracy,độ chính xác
521,activation function,hàm kích hoạt
522,adversarial learning,học đối kháng
523,agent,tác nhân
524,algorithm’s performance,chất lượng thuật toán
525,alternative hypothesis,giả thuyết đối
526,analytical solution,nghiệm theo công thức
527,analogy,loại suy
528,anchor box,khung neo
529,approximate inference,suy luận gần đúng
530,approximate training,huấn luyện gần đúng
531,argument (in programming),đối số
532,artificial data synthesis,tổng hợp dữ liệu nhân tạo
533,artificial general intelligence (AGI),trí tuệ nhân tạo phổ quát
534,attention mechanisms,cơ chế tập trung
535,automatic differentiation,tính vi phân tự động
536,autoregressive,tự hồi quy
537,average pooling,gộp trung bình
538,avoidable bias,độ chệch tránh được
539,backend,back-end
540,background noise,nhiễu nền
541,backpropagation,lan truyền ngược
542,backpropagation through time,lan truyền ngược qua thời gian
543,backward pass,lượt truyền ngược
544,bag of words,túi từ
545,bandit,máy đánh bạc
546,batch,batch
547,batch normalization,chuẩn hóa theo batch
548,batch size,kích thước batch
549,beam search,tìm kiếm chùm
550,benchmark,đánh giá xếp hạng
551,bias (model parameter),hệ số điều chỉnh
552,bias (of an estimator),độ chệch
553,bias-variance tradeoff,đánh đổi độ chệch - phương sai
554,bidirectional recurrent neural network,mạng nơ-ron hồi tiếp hai chiều
555,big data,big data
556,binomial distribution,phân phối nhị thức
557,blackbox dev set,tập phát triển blackbox
558,bounding box,khung chứa
559,broadcast,lan truyền
560,bus,bus
561,cache,bộ nhớ đệm
562,(strictly) convex function,hàm lồi (chặt)
563,candidate hidden state,trạng thái ẩn tiềm năng
564,candidate memory,ô nhớ tiềm năng
565,categorical variable,biến hạng mục
566,category,hạng mục
567,causality,quan hệ nhân quả
568,central target word,từ đích trung tâm
569,central word,từ trung tâm
570,chain rule,quy tắc dây chuyền
571,channel (in computer vision),kênh
572,(model) checkpoint,checkpoint (của mô hình)
573,classifier,bộ phân loại
574,closed-form solution,biểu thức dạng đóng
575,cloud computing,điện toán đám mây
576,clustering,phân cụm
577,code (noun),mã nguồn
578,code (verb),viết mã
579,coefficient,hệ số
580,collaborative filtering,lọc cộng tác
581,command line (interface),cửa sổ dòng lệnh
582,computational graph,đồ thị tính toán
583,computer vision,thị giác máy tính
584,computing (in computer science),điện toán
585,concatenate,nối
586,conditional distribution,phân phối có điều kiện
587,confidence interval,khoảng tin cậy
588,confidence level,mức tin cậy
589,confusion matrix,ma trận nhầm lẫn
590,constrain,ràng buộc
591,content loss (in style transfer),mất mát nội dung
592,context-independent,độc lập ngữ cảnh
593,context-sensitive,nhạy ngữ cảnh
594,convex combination,tổ hợp lồi
595,convex optimization,tối ưu lồi
596,convex set,tập lồi
597,convolutional neural network,mạng nơ-ron tích chập
598,corpus,kho ngữ liệu
599,coreference resolution,phân giải đồng tham chiếu
600,correlation coefficient,hệ số tương quan
601,cosine,cô-sin
602,cost function,hàm chi phí
603,covariate,hiệp biến
604,crop (image),cắt (ảnh)
605,cross correlation,tương quan chéo
606,cross entropy,entropy chéo
607,cross validation,kiểm định chéo
608,data,dữ liệu
609,data augmentation,tăng cường dữ liệu
610,data manipulation,thao tác với dữ liệu
611,data mismatch,dữ liệu không tương đồng
612,data science,khoa học dữ liệu
613,data scientist,nhà khoa học dữ liệu
614,datapoint (data point),điểm dữ liệu
615,dataset (data set),tập dữ liệu
616,deep learning,học sâu
617,deferred initialization,khởi tạo trễ
618,dense layer,tầng kết nối dày đặc
619,densely connected network,mạng tích chập kết nối dày đặc
620,dev set,tập phát triển
621,dev set performance,chất lượng trên tập phát triển
622,development set,tập phát triển
623,differentiable,khả vi
624,dimension,chiều
625,dimensionality,kích thước chiều
626,distributed,phân tán
627,distribution,phân phối
628,domain adaptation,thích ứng miền
629,downsample,giảm mẫu
630,downstream task,tác vụ xuôi dòng
631,dot product,tích vô hướng (hoặc tích trong)
632,dropout,dropout
633,early stopping,dừng sớm
634,edge (in computer vision),biên
635,edge detector,bộ phát hiện biên
636,effect size,hệ số ảnh hưởng
637,eigen-decomposition,phân rã trị riêng
638,eigenvalue,trị riêng
639,eigenvector,vector riêng
640,elementwise,(theo) từng phần tử
641,embedding,embedding
642,encoder-decoder architecture,kiến trúc mã hóa - giải mã
643,end-to-end,đầu-cuối
644,epoch (in training),epoch (khi huấn luyện)
645,error analysis,phân tích lỗi
646,error rate,tỉ lệ lỗi
647,estimator,bộ ước lượng
648,evaluation metric,phép đánh giá
649,example,mẫu
650,expectation,kỳ vọng
651,explicit feedback,phản hồi trực tiếp
652,exploding gradient,bùng nổ gradient
653,exponential distribution,phân phối mũ
654,expression (in math),biểu thức (toán học)
655,eyeball dev set,tập phát triển eyeball
656,exponential weighted moving average,trung bình động trọng số mũ
657,F1 score,chỉ số F1
658,false negative,âm tính giả
659,false positive,dương tính giả
660,feature,đặc trưng
661,feature extraction,trích xuất đặc trưng
662,feature map (in CNN),ánh xạ đặc trưng
663,feed-forward network (FNN),mạng truyền xuôi
664,fine-tuning,tinh chỉnh
665,filter (in CNN),bộ lọc
666,fit,khớp
667,first principle,định đề cơ bản
668,flatten,trải phẳng
669,forward pass,lượt truyền xuôi
670,forward inference,suy luận xuôi
671,framework,framework
672,frontend,front-end
673,frozen weight (freeze weight),trọng số bị đóng băng (đóng băng trọng số)
674,functional analysis,giải tích hàm
675,fully-connected,kết nối đầy đủ
676,fully convolutional network,mạng tích chập đầy đủ
677,Gaussian distributio n,phân phối Gauss (phân phối chuẩn)
678,Gaussian noise,nhiễu Gauss
679,gated recurrent unit,nút hồi tiếp có cổng
680,generalizat ion error,lỗi khái quát
681,generalizat ion gap,khoảng cách khái quát
682,generalizat ion loss,mất mát khái quát
683,generative adversarial network,mạng đối sinh
684,generative model,mô hình sinh
685,global interpreter lock,khóa trình thông dịch toàn cục
686,global maximum,giá trị lớn nhất
687,global minimum,giá trị nhỏ nhất
688,gradient clipping,gọt gradient
689,gradient descent,hạ gradient
690,graphical model,mô hình đồ thị
691,greedy algorithm,thuật toán tham lam
692,greedy search,tìm kiếm tham lam
693,ground truth,nhãn gốc
694,growth rate,tốc độ tăng trưởng
695,hand-engi neering,thiết kế thủ công
696,helper (function ),(hàm) hỗ trợ
697,heuristic,thực nghiệm
698,hybrid(iz e),hybrid (hóa)
699,hidden state,trạng thái ẩn
700,hidden state variable,biến trạng thái ẩn
701,hidden unit,nút ẩn
702,hidden variable,biến ẩn
703,human-lev el performan ce,chất lượng mức con người
704,hyperpara meter,siêu tham số
705,hyperplan e,siêu phẳng
706,hypothesi s test,kiểm định giả thuyết
707,inference (in model training and inference),dự đoán / suy luận
708,(statistical) inference,suy luận (thống kê)
709,ill-conditioned,(có) điều kiện xấu
710,image segmentation,phân vùng ảnh
711,implement,lập trình
712,implementation,cách lập trình
713,implicit feedback,phản hồi gián tiếp
714,"import (module, package)","nhập (mô-đun, gói thư viện)"
715,imputation (in data preprocessing),quy buộc
716,independence assumption,giả định độc lập
717,indicator variable,biến chỉ định
718,inductive bias,thiên kiến quy nạp
719,initializer,bộ khởi tạo
720,instance segmentation,phân vùng thực thể
721,internal covariate shift,dịch chuyển hiệp biến nội bộ
722,intersection over union (IoU),phần giao trên phần hợp
723,iteration,vòng lặp
724,iterator,iterator
725,joint distribution,phân phối đồng thời
726,k-fold cross validation,kiểm định chéo gập k-lần
727,kernel,hạt nhân
728,key,khóa
729,long short-term Memory (LSTM),bộ nhớ ngắn hạn dài
730,label smoothing,làm mượt nhãn
731,language model(ling),mô hình (hoá) ngôn ngữ
732,masked language model,mô hình ngôn ngữ có mặt nạ
733,latent variable,biến tiềm ẩn
734,law of large numbers,luật số lớn
735,layer,tầng
736,leaky,rò rỉ
737,learning algorithm,thuật toán học
738,learning curve,đồ thị quá trình học
739,learning rate,tốc độ học
740,learning rate schedule,định thời tốc độ học
741,line search,tìm kiếm đường thẳng
742,linear,tuyến tính
743,linear algebra,đại số tuyến tính
744,linear dependence,phụ thuộc tuyến tính
745,linear discriminant analysis (LDA),phân tích biệt thức tuyến tính
746,linear form,dạng tuyến tính
747,linear independence,độc lâp tuyến tính
748,linear programming,quy hoạch tuyến tính
749,linear regression,hồi quy tuyến tính
750,local maximum,cực đại
751,local minimum,cực tiểu
752,locality,tính cục bộ
753,log-likelihood function,hàm log hợp lý
754,logistic regression,hồi quy logistic
755,logit (softmax),logit
756,loss function,hàm mất mát
757,loss landscape,cảnh quan mất mát
758,loss surface,bề mặt mất mát
759,machine learning,học máy
760,machine translation,dịch máy
761,marginalization,phép biên hóa
762,mask (in computer vision),mặt nạ
763,masked multi-head attention layer,tầng tập trung đa đầu có mặt nạ
764,matrix factorization,phân rã ma trận
765,max pooling,gộp cực đại
766,maximize (in optimization),cực đại hóa
767,maximum likelihood estimator,bộ ước lượng hợp lý cực đại
768,mean squared error (MSE),trung bình bình phương sai số
769,memory cell,ô nhớ
770,metric,phép đo
771,minibatch,minibatch
772,minimize (in optimization),cực tiểu hóa
773,minimizer,nghiệm cực tiểu
774,misclassified,bị phân loại nhầm
775,mislabeled,bị gán nhãn nhầm
776,model,mô hình
777,model capacity,năng lực mô hình
778,model family,nhóm mô hình
779,module,mô-đun
780,moment,mô-men
781,momentum,động lượng
782,multi-armed bandit,máy đánh bạc đa cần
783,multi-class classification,phân loại đa lớp
784,multi-head attention layer,tầng tập trung đa đầu
785,multinominal distribution,phân phối đa thức
786,multitask learning,học đa nhiệm
787,named entity (recognition),(nhận dạng) thực thể có tên
788,natural language inference (NLI),suy luận ngôn ngữ tự nhiên
789,natural language processing (NLP),xử lý ngôn ngữ tự nhiên
790,natural language understanding (NLU),hiểu ngôn ngữ tự nhiên
791,negative log-likelihoo d function,hàm đối log hợp lý
792,negative sample/exampl e,mẫu âm
793,network in network,mạng trong mạng
794,neural network,mạng nơ-ron
795,neural style transfer,truyền tải phong cách nơ-ron
796,node (in neural networks),nút
797,noise-injecti on,thêm nhiễu
798,non-maximum suppression,triệt phi cực đại
799,non-squashing activation function,hàm kích hoạt không ép
800,nonstationary distribution,phân phối không dừng
801,nonparametric,phi tham số
802,norm,chuẩn
803,normal distribution,phân phối chuẩn (phân phối Gauss)
804,normalize,chuẩn hóa
805,null hypothesis,giả thuyết gốc
806,numerical solution,nghiệm xấp xỉ
807,object detection,phát hiện vật thể
808,object recognition,nhận dạng vật thể
809,objective function,hàm mục tiêu
810,offline learning,học ngoại tuyến
811,offset,độ dời
812,one-hot encoding,biễu diễn one-hot
813,one-sided test,kiểm định một phía
814,one-tailed test,kiểm định một đuôi
815,optimization landscape,cảnh quan tối ưu
816,optimizing metric,phép đo để tối ưu
817,orthogonal,trực giao
818,orthonormal,trực chuẩn
819,overfit,quá khớp
820,overflow (numerical),tràn (số) trên
821,p-value,trị số p
822,padding,đệm
823,partition function,hàm phân hoạch
824,pattern recognition,nhận dạng mẫu
825,penalty,lượng phạt
826,perceptron,perceptron
827,performance,chất lượng
828,perplexity (metric in NLP),perplexity
829,perturbation,nhiễu
830,pipeline,pipeline
831,pixel (component of digital images),điểm ảnh
832,pixel (unit of measurement),pixel (đơn vị đo)
833,plateau (noun),vùng nằm ngang
834,plateau (verb),nằm ngang
835,policy (in reinforcement learning),chính sách
836,pooling,gộp
837,population,tổng thể
838,position-wise feed-forward network,mạng truyền xuôi theo vị trí
839,positional encoding,biểu diễn vị trí
840,positive sample/example,mẫu dương
841,posterior,hậu nghiệm
842,precision (vs accuracy metric),precision
843,preconditioning,tiền điều kiện
844,premise,tiền đề
845,pre-train,tiền huấn luyện
846,principal component analysis (PCA),phân tích thành phần chính
847,prior,tiên nghiệm
848,probability theory,lý thuyết xác suất
849,proposed region,vùng đề xuất
850,proxy (in statistics),biến đại diện
851,quadratic,toàn phương
852,quadratic form,dạng toàn phương
853,quadratic programming,quy hoạch toàn phương
854,query,(câu) truy vấn
855,random variable,biến ngẫu nhiên
856,recall,recall
857,receptive field (in CNN),vùng tiếp nhận
858,recommender system,hệ thống đề xuất
859,recognition,nhận dạng
860,rectified linear unit (ReLU),đơn vị tuyến tính chỉnh lưu
861,recurrent neural network,mạng nơ-ron hồi tiếp
862,region of interest,vùng quan tâm
863,region of rejection,miền bác bỏ
864,regressor,bộ hồi quy
865,regularization,điều chuẩn
866,reinforcement learning,học tăng cường
867,relative loss,mất mát tương đối
868,remote,từ xa
869,reparameterization,tái tham số hóa
870,representation learning,học biểu diễn
871,reproduce (reproducibility),tái tạo (khả năng tái tạo)
872,rescale,(phép) tái tỉ lệ
873,reset gate,cổng xóa
874,residual network,mạng phần dư
875,reward function,hàm điểm thưởng
876,"robust (adjective for models, algorithms, systems)",mạnh mẽ
877,robust to noise,kháng nhiễu
878,root mean squared error (RMSE),căn bậc hai trung bình bình phương sai số
879,running time,thời gian chạy
880,sampling with replacement,lấy mẫu có hoàn lại
881,sampling without replacement,lấy mẫu không hoàn lại
882,satisficing metric,phép đo thỏa mãn
883,scale,(phép) biến đổi tỉ lệ
884,scalar,số vô hướng
885,scale invariant,bất biến quy mô
886,scoring function,hàm tính điểm
887,serialization (programming),chuỗi hóa
888,semantic role labeling,dán nhãn vai trò ngữ nghĩa
889,semantic segmentation,phân vùng theo ngữ nghĩa
890,sentiment classification (analysis),phân loại (phân tích) cảm xúc
891,sequence-aware (recommender system),(hệ thống đề xuất) có nhận thức về chuỗi
892,sequence learning,học chuỗi
893,sequence to sequence,chuỗi sang chuỗi
894,sequential partitioning,phân tách tuần tự
895,server,máy chủ
896,sensitivity,độ nhạy
897,shape (in linear algebra),kích thước
898,significance test,kiểm định ý nghĩa
899,skip-gram (model),(mô hình) skip-gram
900,significance test,kiểm định ý nghĩa
901,slicing (an array),cắt chọn (mảng)
902,source data / distribution,dữ liệu / phân phối gốc
903,spam email,email rác
904,speech recognition,nhận dạng giọng nói
905,squashing function,hàm ép
906,standard deviation,độ lệch chuẩn
907,standardize,chuẩn tắc hóa
908,state-of-the-art,tân tiến nhất
909,stationary point,điểm dừng
910,statistical inference,suy luận thống kê
911,statistical power,năng lực thống kê
912,statistical significance,ý nghĩa thống kê
913,statistical significant,có ý nghĩa thống kê
914,stochastic gradient descent,hạ gradient ngẫu nhiên
915,stop word,từ dừng
916,style loss (in style transfer),mất mát phong cách
917,stride,sải bước
918,subscript,chỉ số dưới
919,subspace estimation,ước lượng không gian con
920,subword (NLP),từ con
921,superscript,chỉ số trên
922,supervised learning,học có giám sát
923,support vector machine (SVM),Máy vector hỗ trợ
924,surprisal (in information theory),lượng tin
925,surrogate objective,mục tiêu thay thế
926,switch,bộ chuyển mạch
